Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,3,311-1365-1-ND,CAP CER 1UF 16V X7R 0805,,3,0,0.10000,0.30,
2,1,1N4004-TPMSCT-ND,DIODE GEN PURP 400V 1A DO41,,1,0,0.11000,0.11,
3,1,311-1.00KCRCT-ND,RES SMD 1K OHM 1% 1/8W 0805,,1,0,0.10000,0.10,
4,1,507-1792-1-ND,PTC RESTTBLE 2.00A 6V CHIP 1210,,1,0,0.25000,0.25,
5,1,Z223-ND,RELAY GEN PURPOSE SPST 10A 12V,,1,0,1.41000,1.41,
6,4,311-10KARCT-ND,RES SMD 10K OHM 5% 1/8W 0805,,4,0,0.10000,0.40,
7,1,AZ1117IH-5.0TRG1DICT-ND,IC REG LDO 5V 0.8A SOT223,,1,0,0.37000,0.37,
8,1,1727-6318-1-ND,IC GATE NAND 2CH 4-INP 14-SO,,1,0,0.39000,0.39,
9,1,BTS6133DCT-ND,IC HIGH SIDE PWR SWITCH DPAK-5,,1,0,2.60000,2.60,
