Reference, Value, Footprint, Datasheet
"J3","TSAL","Pin_Headers:Pin_Header_Straight_1x02",""
"U4","BTS6133D","UNCAMotorsports:TO-252-5",""
"U2","TL431","UNCAMotorsports:SOT23-3",""
"R4","0R","Resistors_SMD:R_0805_HandSoldering",""
"R5","1k","Resistors_SMD:R_0805_HandSoldering",""
"R1","10k","Resistors_SMD:R_0805_HandSoldering",""
"R2","1k","Resistors_SMD:R_0805_HandSoldering",""
"P3","TS+ (PostAIR)","Wire_Pads:SolderWirePad_single_1mmDrill",""
"U3","TCMT1103","UNCAMotorsports:SSOP-4",""
"U1","V7812W-500","UNCAMotorsports:V78W-500",""
"C2","10uF","Capacitors_SMD:C_0805_HandSoldering",""
"C1","10uF","Capacitors_SMD:C_0805_HandSoldering",""
"P1","TS+ (PreAIR)","Wire_Pads:SolderWirePad_single_1mmDrill",""
"P2","TS-","Wire_Pads:SolderWirePad_single_1mmDrill",""
"J1","Indicator","Pin_Headers:Pin_Header_Straight_1x02",""
"R3","1.2k","Resistors_SMD:R_0805_HandSoldering",""
"F2","3A","SMD_Packages:SMD-1210_Pol",""
"J2","GLV","Pin_Headers:Pin_Header_Straight_1x02",""
"F1","3A","SMD_Packages:SMD-1210_Pol",""
"Q1","Q_PMOS_GSD","UNCAMotorsports:SOT23-3",""
"MK1","Mounting_Hole","Mounting_Holes:MountingHole_3mm",""
"MK3","Mounting_Hole","Mounting_Holes:MountingHole_3mm",""
